# ATT NP202, Ausgabe 2015 -- TABLE V PART 2
# "Highest Astronomical Tidal Levels (HAT) in metres at Secondary Ports"
# Buchseiten xli-xlvii, xlix und li (PDF-Seiten 5-11, 15, 17 von np202_iv_vi.pdf).
#
# ABDECKUNG: transkribiert sind nur die neun Seiten, auf denen Stationen
# unseres Bestands liegen. Die uebrigen sechs Seiten des Scans (Buchnummern
# 2664-2904, 3039-3371, 3470-3718) enthalten keine unserer Stationen und sind
# hier nicht erfasst. Der Scan selbst hat ausserdem eine Luecke zwischen 1694
# und 2307 (Iberien, Mittelmeer, Westafrika, Suedamerika); dort haben wir
# ebenfalls nichts.
#
# "-" = im Buch ein Kreis (No data).
#
# Am 04.08.2026 Spalte fuer Spalte vom Scan gelesen. WICHTIG: die Zuordnung zu
# unserem Bestand muss ueber den NAMEN erfolgen, nicht ueber die Nummer --
# unsere Nummerierung weicht an 17 Stellen vom Buch ab (siehe
# py/hat_test_np202.py, Abschnitt VERSATZ).
#
# Bekannte Eigenheiten des Buches:
# - 1008 Zaliv Pukhovyy steht ausser der Reihe zwischen 1090 und 1091.
# - 1378 ist zweimal vergeben: Wismar und Travemuende. Hier als 1378 und 1378b.
# - Die ganze Ostsee (1317-1379) traegt Kreise, dort gibt ATT kein HAT an.
#
# nr	name	hat
2923	Liverpool	2.3
2926	Krout Point	2.3
2927	Bridgewater	2.6
2928	Lunenburg	2.4
2929	Mahone Harbour	2.4
2930	Chester, Canada	2.3
2932	Indian Harbour	2.4
2939	Jeddore Harbour	2.3
2940	Murphy Cove	2.2
2942	Sheet Harbour	2.3
2946	Sonora	2.1
2948	Isaac's Harbour	2.2
2950	Larry's River	2.1
2952	Sable Island	1.9
2954	Canso Harbour	2.1
2956	Guysborough	1.7
2958	Port Hastings	2.0
2958a	Port Hawkesbury	2.3
2959a	Sand Point	1.9
2960	Arichat	1.8
2961	Cannes	1.7
2964	Gabarus	1.8
2965	Louisburg	1.8
2968	Glace Bay	1.5
2969	North Sydney	1.5
2972	St Anns Harbour	1.5
2974	Ingonish Island	1.4
2976	Dingwall	1.3
2977	St. Paul Island (Cabot Strait)	1.3
2980	Grande Entree	1.0
2983	Cap-Aux-Meules	1.2
2984	Havre Aubert	1.1
2986	La Pointe	1.3
2988	Broad Cove Marsh	1.4
2990	Port Hood	1.3
2993	Cape Jack	1.7
2994	Antigonish	1.4
2995	Ballantynes Cove	1.8
3001	Pugwash Harbour	2.6
3003	Cape Tormentine	2.4
3005	Shediac Bay	1.7
3010	Summerside	2.3
3011	Borden	2.5
3014	Charlottetown	3.0
3017	Murray Harbour	1.9
3018	Georgetown (Prince Edward Island)	1.8
3019	Souris	1.8
3021	Savage Harbour	0.9
3023	Rustico	1.3
3025	Malpeque	1.3
3026	Alberton	1.2
3027	Tignish	1.3
3030	Richibucto Cape	1.4
3032	Escuminac	2.0
3035	Portage Island	1.6
3036	Neguac	1.6
3038	Shippegan Gully	1.5
3038a	Shippegan	2.1
3038b	Miscou	1.9
3372	Chamisso Island	1.1
3374	Point Barrow	0.3
3375	Prudhoe Bay	0.5
3375a	Prudhoe Bay (Dock No 2)	0.3
3375b	Prudhoe Bay (Dock No 1)	0.4
3375c	Cross Island	0.3
3376	Flaxman Island	0.3
3377	Herschel Island	0.8
3378	Tuktoyaktuk	0.8
3379	Paulatuk	0.8
3380	Pearce Point	0.8
3381	Bernard Harbour	1.3
3384	Cambridge Bay	1.0
3389	Princess Royal Island	1.4
3393	Cape Kellett	0.5
3395	Mercy Bay	1.0
3396	Mould Bay	0.7
3398	Isachsen	0.5
3400	Eureka	0.4
3402	Pim Island	4.6
3404	Cape Lawrence	2.8
3406	Discovery Harbour	2.3
3407	Cape Sheridan	0.9
3407a	Alert	1.0
3408	Cape Columbia	0.4
3413	Cape Bryant	0.5
3414	Thank God Harbour	2.1
3416	Renselaer Bay	4.1
3417	Port Foulke	4.3
3419	North Star Bay	3.2
3422	Upernavik	2.8
3423	Quamarujuk	2.3
3423a	Uummannaq	2.4
3423b	Sarqaq	3.5
3424	Godhavn	2.6
3424a	Jakobshavn	3.0
3425	Kronprinsens Ejland	2.6
3426	Egedesminde	2.8
3428	Rifkol Island	3.2
3429	Holsteinsborg	4.7
3430	Manitsoq	4.7
3431	Godthaab (Nuuk)	5.0
3432	Faeringehavn	3.8
3433	Frederikshaab	3.5
3434	Gronnedal	3.2
3434b	Narsaq	3.4
3435	Julianehaab	3.4
3437	Nanortalik	2.9
3438	Frederiksdal	3.7
3439	Cape Farewell	3.7
3441	Finnsbu	3.0
3443	Ammassalik	3.7
3446	Danmark Island	1.3
3447	Cape Tobin	1.1
3447a	Nyhavn	1.6
3448	Finsch Island	1.7
3449	Zackenberg	1.8
3450	Little Pendulum Island	2.0
3451	Cape Borgen	2.0
3452	Danmarks Havn	1.8
3454	Kap Holbaek	0.8
3455	Jorgen Bronlund Fjord	0.8
3456	Kap Morris Jesup	0.5
3459	Porto Da Casa	1.7
3460	Lajes (Flores)	1.7
3460a	Santa Cruz (Flores)	1.7
3462	Horta	1.9
3465	Santa Cruz (Graciosa)	1.8
3466	Angra Do Heroismo	1.8
3466a	Praia Da Vitoria	1.9
3469	Vila Do Porto	2.0
